policy,run,wall_seconds,rapl_pkg_joules,rapl_core_joules,cg_pin,ep_pin,io_pin,is_outlier,pkg_watts
cfs,1,81.401,1564.946,1032.728,,,,False,19.225144654242577
cfs,2,81.389,1559.271,1029.476,,,,False,19.158252343682808
cfs,3,81.411,1547.578,1034.136,,,,False,19.009445897974473
cfs,4,81.455,1553.616,1041.002,,,,False,19.073304278435945
cfs,5,81.655,1535.074,1023.251,,,,False,18.79951013410079
all_P,1,109.467,1769.646,1137.526,0-5,0-5,0-5,False,16.166022636959084
all_P,2,112.317,1774.883,1133.529,0-5,0-5,0-5,False,15.802443085196366
all_P,3,113.04,1773.011,1125.682,0-5,0-5,0-5,False,15.68481068648266
all_P,4,102.817,1681.766,1081.498,0-5,0-5,0-5,False,16.356886507095133
all_P,5,108.177,1742.876,1118.683,0-5,0-5,0-5,False,16.111336051101436
pe_split,1,70.87,1338.063,879.997,0-5,6-13,6-13,False,18.88052772682376
pe_split,2,70.625,1340.912,888.304,0-5,6-13,6-13,False,18.98636460176991
pe_split,3,70.906,1349.794,888.746,0-5,6-13,6-13,False,19.036386201449808
pe_split,4,109.241,1616.993,976.296,0-5,6-13,6-13,True,14.802070651129155
pe_split,5,70.801,1349.333,894.729,0-5,6-13,6-13,False,19.058106523919154
three_way,1,70.64,1386.432,889.892,0-5,6-13,14-15,False,19.62672706681767
three_way,2,80.95,1441.721,903.99,0-5,6-13,14-15,False,17.810018529956764
three_way,3,70.62,1365.811,880.775,0-5,6-13,14-15,False,19.340286037949586
three_way,4,70.694,1373.997,883.846,0-5,6-13,14-15,False,19.435836138851954
three_way,5,70.636,1364.086,878.848,0-5,6-13,14-15,False,19.311484229005043
